end station id,station_name,station_latitude,station_longitude,sitetype
360,William St & Pine St,40.70717936,-74.00887308,Station
3163,Central Park West & W 68 St,40.7734066,-73.97782542,Station
3547,Broadway & Moylan Pl,40.8143256,-73.9590255,Station
303,Mercer St & Spring St,40.72362738,-73.99949601,Station
223,W 13 St & 7 Ave,40.73781509,-73.99994661,Station
167,E 39 St & 3 Ave,40.7489006,-73.97604882,Station
387,Centre St & Chambers St,40.71273266,-74.0046073,Station
3659,W 17 St & 9 Ave,40.74294892,-74.00413692,Station
268,Howard St & Centre St,40.71910537,-73.99973337,Station
3143,5 Ave & E 78 St,40.77632142,-73.96427393,Station
3158,W 63 St & Broadway,40.77163851,-73.98261428,Station
3359,E 68 St & Madison Ave,40.7691572,-73.96703464,Station
309,Murray St & West St,40.7149787,-74.013012,Station
259,South St & Whitehall St,40.70122128,-74.01234218,Station
393,E 5 St & Avenue C,40.72299208,-73.97995466,Station
422,W 59 St & 10 Ave,40.770513,-73.988038,Station
3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,Station
3145,E 84 St & Park Ave,40.77862688,-73.95772073,Station
3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,Station
249,Harrison St & Hudson St,40.71870987,-74.0090009,Station
3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,Station
3542,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,Station
247,Perry St & Bleecker St,40.73535398,-74.00483091,Station
503,E 20 St & Park Ave,40.73827428,-73.98751968,Station
301,E 2 St & Avenue B,40.72217444,-73.98368779,Station
513,W 56 St & 10 Ave,40.768254,-73.988639,Station
3376,E 65 St & 2 Ave,40.76471852,-73.9622207,Station
304,Broadway & Battery Pl,40.70463334,-74.01361706,Station
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Station
3362,Madison Ave & E 82 St,40.7781314,-73.96069399,Station
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,Station
3489,Gold St & Frankfort St,40.71069995,-74.00354147,Station
3305,E 91 St & 2 Ave,40.7811223,-73.94965589,Station
238,Bank St & Washington St,40.7361967,-74.00859207,Station
355,Bayard St & Baxter St,40.71602118,-73.99974372,Station
