bikeid,Trip Count,Average Trip Duration
14955.0,1041,839.1709894332373
14956.0,136,697.5
14957.0,1203,842.4854530340815
14958.0,1169,801.8879384088965
14959.0,1085,916.1336405529954
14961.0,858,893.7272727272727
14962.0,1110,901.9747747747748
14963.0,799,837.3466833541927
14965.0,656,883.5990853658536
14966.0,1019,765.8312070657507
14967.0,1152,1347.2578125
14970.0,1194,923.7269681742043
14972.0,989,1116.459049544995
14973.0,1122,932.5891265597148
14974.0,1136,879.5572183098592
14975.0,1055,839.8729857819906
14976.0,935,921.724064171123
14977.0,1152,927.2135416666666
14978.0,140,649.1357142857142
14979.0,1318,835.9104704097117
14980.0,838,988.3377088305489
14982.0,1069,1197.5275958840036
14983.0,1155,1336.908225108225
14985.0,225,749.6311111111111
14986.0,1282,948.9040561622464
14987.0,1073,832.762348555452
14988.0,1271,856.9087332808812
14990.0,839,817.9261025029797
14991.0,1208,931.9784768211921
14992.0,1088,854.0431985294117
14993.0,547,829.3016453382085
14994.0,1162,933.8838209982788
14995.0,596,838.7265100671141
14996.0,156,721.5320512820513
14997.0,549,791.6047358834244
15000.0,1326,2710.9117647058824
15001.0,466,2128.2596566523607
15003.0,646,817.9736842105264
15004.0,887,871.3156708004509
15005.0,911,816.0889132821076
15007.0,1065,1371.992488262911
15008.0,1063,913.4600188146754
15009.0,1181,994.0635055038103
15011.0,1201,922.7735220649458
15012.0,1060,999.0094339622641
15013.0,554,1782.5234657039712
15014.0,1298,843.8551617873652
15015.0,1117,810.2587287376903
15016.0,1015,1112.528078817734
15018.0,1207,1065.8765534382767
15019.0,1143,882.4584426946632
15020.0,1243,948.4698310539019
15021.0,993,880.4692849949647
15022.0,1023,821.7321603128055
15023.0,987,805.7730496453901
15024.0,1081,922.3376503237743
15025.0,1323,857.1761148904006
15027.0,1246,880.1211878009631
15028.0,860,1020.2941860465116
15029.0,921,950.4353963083605
15030.0,1024,985.712890625
15031.0,1065,885.7699530516431
15032.0,1071,821.8832866479926
15034.0,395,875.6075949367089
15035.0,602,897.4036544850499
15036.0,466,760.1201716738198
15037.0,703,918.3769559032717
15038.0,596,1110.5637583892617
15039.0,410,781.4756097560976
15040.0,1025,1155.3229268292682
15042.0,1014,892.1568047337278
15043.0,1030,857.4106796116505
15044.0,754,988.1697612732096
15045.0,981,954.2354740061162
15047.0,1446,1203.5608575380359
15048.0,899,872.8464961067854
15049.0,1151,912.2936576889662
15052.0,487,988.8747433264887
15053.0,862,798.5324825986079
15055.0,1012,850.5790513833992
15056.0,1267,858.4214680347277
15057.0,1152,857.765625
15059.0,839,859.5053635280095
15060.0,950,840.8052631578947
